# Fitted Temperatures:
# Downstream (K): 2388.7	1.3
# Upstream (K): 2374.9	1.4
# 
# Datacolumns:
# wavelength(nm)	US_data	US_fit
6.128225269959681327e+02 5.986618887945135157e+02 6.081672138547908162e+02
6.130856946010392221e+02 5.968188569491585440e+02 6.094439231081260004e+02
6.133488601407132137e+02 6.056035458256567381e+02 6.107216416095316163e+02
6.136120236137182928e+02 6.033667963898149083e+02 6.120003668937652037e+02
6.138751850187821901e+02 6.023144507372810494e+02 6.132800964929382417e+02
6.141383443546333183e+02 6.009765943930738104e+02 6.145608279365401359e+02
6.144015016199994079e+02 6.056691060317021993e+02 6.158425587514506105e+02
6.146646568136083033e+02 6.097556081132671579e+02 6.171252864619641514e+02
6.149278099341884172e+02 6.183275359220112932e+02 6.184090085898048983e+02
6.151909609804677075e+02 6.133042534778045365e+02 6.196937226541433574e+02
6.154541099511742459e+02 6.261674769210200111e+02 6.209794261716189112e+02
6.157172568450364452e+02 6.202407882537098658e+02 6.222661166563553934e+02
6.159804016607824906e+02 6.154289826554119145e+02 6.235537916199820074e+02
6.162435443971403402e+02 6.110460311750092615e+02 6.248424485716462868e+02
6.165066850528385203e+02 6.150014549833762203e+02 6.261320850180348998e+02
6.167698236266052163e+02 6.140203492548162103e+02 6.274226984633988877e+02
6.170329601171688410e+02 6.140002592035754105e+02 6.287142864095585537e+02
6.172960945232579206e+02 6.192158578173125534e+02 6.300068463559324528e+02
6.175592268436002996e+02 6.197959427422396175e+02 6.313003757995496699e+02
6.178223570769249591e+02 6.315078835912522663e+02 6.325948722350726712e+02
6.180854852219600843e+02 6.276600761759625584e+02 6.338903331548076494e+02
6.183486112774343155e+02 6.243370496331912136e+02 6.351867560487326045e+02
6.186117352420761790e+02 6.280460178968810396e+02 6.364841384045114410e+02
6.188748571146139739e+02 6.336466016801351770e+02 6.377824777075026077e+02
6.191379768937764538e+02 6.236342810087897988e+02 6.390817714407928634e+02
6.194010945782923727e+02 6.380732059260601545e+02 6.403820170852084175e+02
6.196642101668901432e+02 6.309546872172797976e+02 6.416832121193273224e+02
6.199273236582988602e+02 6.361868403912047825e+02 6.429853540195068717e+02
6.201904350512468227e+02 6.285536474676373473e+02 6.442884402598922406e+02
6.204535443444627845e+02 6.488116625355227143e+02 6.455924683124452486e+02
6.207166515366756130e+02 6.410124973094228835e+02 6.468974356469508393e+02
6.209797566266141757e+02 6.470668023411834611e+02 6.482033397310439113e+02
6.212428596130073402e+02 6.494751835037454839e+02 6.495101780302240968e+02
6.215059604945838601e+02 6.452848403504815451e+02 6.508179480078675851e+02
6.217690592700727166e+02 6.593675708038985022e+02 6.521266471252570227e+02
6.220321559382028909e+02 6.499789044475704713e+02 6.534362728415887887e+02
6.222952504977032504e+02 6.615031494853956247e+02 6.547468226139970966e+02
6.225583429473026627e+02 6.557755178797294775e+02 6.560582938975637717e+02
6.228214332857306772e+02 6.555607506495441612e+02 6.573706841453486049e+02
