# Fitted Temperatures:
# Downstream (K): 2388.7	1.3
# Upstream (K): 2374.9	1.4
# 
# Datacolumns:
# wavelength(nm)	DS_data	DS_fit
6.475423172341486406e+02 1.191617963898127982e+03 1.214640975640052375e+03
6.478052012205126857e+02 1.201737211487785316e+03 1.216763096923483999e+03
6.480680829738466855e+02 1.206611480981464183e+03 1.218886179975796040e+03
6.483309624928829180e+02 1.225763911239324443e+03 1.221010220696099395e+03
6.485938397763541161e+02 1.204317621400543430e+03 1.223135214983172318e+03
6.488567148229919894e+02 1.232131966078455434e+03 1.225261158735467916e+03
6.491195876315293845e+02 1.234292373558707823e+03 1.227388047851169404e+03
6.493824582006986930e+02 1.209042297634515762e+03 1.229515878228189877e+03
6.496453265292324204e+02 1.221277817435142651e+03 1.231644645764198003e+03
6.499081926158628448e+02 1.226472647651434045e+03 1.233774346356639853e+03
6.501710564593226991e+02 1.218461883942715758e+03 1.235904975902765955e+03
6.504339180583446023e+02 1.213551500514756299e+03 1.238036530299653577e+03
6.506967774116610599e+02 1.231924263675776729e+03 1.240169005444220602e+03
6.509596345180046910e+02 1.230988567726491965e+03 1.242302397233254396e+03
6.512224893761085696e+02 1.240116767033888664e+03 1.244436701563440010e+03
6.514853419847048599e+02 1.246822853485521136e+03 1.246571914331364269e+03
6.517481923425265222e+02 1.235749707313981844e+03 1.248708031433549422e+03
6.520110404483065167e+02 1.252955231287478910e+03 1.250845048766480204e+03
6.522738863007776899e+02 1.243818751146180830e+03 1.252982962226616110e+03
6.525367298986725473e+02 1.235139873505396054e+03 1.255121767710413678e+03
6.527995712407241626e+02 1.246251614445743371e+03 1.257261461114351050e+03
6.530624103256657236e+02 1.255130992561872517e+03 1.259402038334954341e+03
6.533252471522301903e+02 1.251392456589175254e+03 1.261543495268810830e+03
6.535880817191499546e+02 1.261285383849912250e+03 1.263685827812587831e+03
6.538509140251587723e+02 1.256019747384475068e+03 1.265829031863075443e+03
6.541137440689894902e+02 1.258248199428363023e+03 1.267973103317175628e+03
6.543765718493751820e+02 1.263285950255874923e+03 1.270118038071954288e+03
6.546393973650489215e+02 1.266168693360079715e+03 1.272263832024636031e+03
6.549022206147441238e+02 1.278217083112342607e+03 1.274410481072654875e+03
6.551650415971938628e+02 1.275930857094174598e+03 1.276557981113646292e+03
6.554278603111313259e+02 1.263842257201796883e+03 1.278706328045484270e+03
6.556906767552897008e+02 1.283017413730613271e+03 1.280855517766302000e+03
6.559534909284028572e+02 1.269033559875688070e+03 1.283005546174511892e+03
6.562163028292037552e+02 1.291279343216383040e+03 1.285156409168819664e+03
6.564791124564256961e+02 1.274836660443466371e+03 1.287308102648254362e+03
6.567419198088024359e+02 1.280444422504815520e+03 1.289460622512184500e+03
6.570047248850672759e+02 1.299834760158708150e+03 1.291613964660342617e+03
6.572675276839538583e+02 1.290851037468135701e+03 1.293768124992844605e+03
6.575303282041953707e+02 1.306787360135330118e+03 1.295923099410200166e+03
6.577931264445260240e+02 1.290989774479792459e+03 1.298078883813358743e+03
6.580559224036787782e+02 1.295610292495264048e+03 1.300235474103698380e+03
6.583187160803877305e+02 1.289865659798231036e+03 1.302392866183074830e+03
6.585815074733864094e+02 1.295871296302037763e+03 1.304551055953821333e+03
6.588442965814086847e+02 1.310636423190278492e+03 1.306710039318784311e+03
6.591070834031879713e+02 1.309976137896069531e+03 1.308869812181332009e+03
6.593698679374584799e+02 1.308940370410848800e+03 1.311030370445380413e+03
6.596326501829539666e+02 1.336287151141085360e+03 1.313191710015418266e+03
6.598954301384080736e+02 1.320540241090321615e+03 1.315353826796517978e+03
6.601582078025550118e+02 1.308202007587140542e+03 1.317516716694357910e+03
6.604209831741285370e+02 1.347016837038275071e+03 1.319680375615248067e+03
6.606837562518627465e+02 1.331941176378452610e+03 1.321844799466149652e+03
6.609465270344912824e+02 1.311502759525847750e+03 1.324009984154685526e+03
6.612092955207486966e+02 1.344337122387654290e+03 1.326175925589177496e+03
6.614720617093689725e+02 1.326273381202212477e+03 1.328342619678644951e+03
6.617348255990863208e+02 1.314022419685754812e+03 1.330510062332843745e+03
6.619975871886344976e+02 1.329108442936023721e+03 1.332678249462273470e+03
6.622603464767481682e+02 1.340195511668367089e+03 1.334847176978206107e+03
6.625231034621613162e+02 1.366435449060141082e+03 1.337016840792698304e+03
6.627858581436083796e+02 1.341581433043101470e+03 1.339187236818617976e+03
6.630486105198234554e+02 1.345782508063383375e+03 1.341358360969656815e+03
6.633113605895412093e+02 1.331678832310620919e+03 1.343530209160360982e+03
6.635741083514957381e+02 1.350693548072977592e+03 1.345702777306133612e+03
6.638368538044214802e+02 1.360235216054466946e+03 1.347876061323265276e+03
6.640995969470533282e+02 1.366986425436683703e+03 1.350050057128967865e+03
6.643623377781249246e+02 1.348091227679410395e+03 1.352224760641351622e+03
6.646250762963718444e+02 1.351099788246169965e+03 1.354400167779498815e+03
6.648878125005280708e+02 1.370353771796268575e+03 1.356576274463437812e+03
6.651505463893281558e+02 1.376166260462421860e+03 1.358753076614184693e+03
6.654132779615071058e+02 1.363447443931153430e+03 1.360930570153762574e+03
6.656760072157993591e+02 1.367727814248451750e+03 1.363108751005207296e+03
6.659387341509394673e+02 1.347282559136578357e+03 1.365287615092599026e+03
6.662014587656626645e+02 1.367350482733599847e+03 1.367467158341084769e+03
6.664641810587033888e+02 1.364625061162769043e+03 1.369647376676878366e+03
6.667269010287965330e+02 1.379171875705425691e+03 1.371828266027300060e+03
6.669896186746771036e+02 1.389248362674127293e+03 1.374009822320778085e+03
6.672523339950799937e+02 1.379076637134262455e+03 1.376192041486887547e+03
6.675150469887399822e+02 1.382269845782942866e+03 1.378374919456347243e+03
6.677777576543921896e+02 1.379806337924632999e+03 1.380558452161051491e+03
6.680404659907715086e+02 1.370998033681063816e+03 1.382742635534087867e+03
6.683031719966131732e+02 1.380616732767314488e+03 1.384927465509754256e+03
6.685658756706521899e+02 1.417108612781921011e+03 1.387112938023576589e+03
6.688285770116236790e+02 1.397836819312271700e+03 1.389299049012324531e+03
6.690912760182631018e+02 1.391481538583985184e+03 1.391485794414038537e+03
6.693539726893050101e+02 1.400739787492175537e+03 1.393673170168036677e+03
6.696166670234854337e+02 1.381116058094621621e+03 1.395861172214949647e+03
6.698793590195390379e+02 1.409027063434102502e+03 1.398049796496716226e+03
6.701420486762015116e+02 1.406105965315664662e+03 1.400239038956625791e+03
6.704047359922079750e+02 1.399104064749259351e+03 1.402428895539314681e+03
6.706674209662938893e+02 1.406244574207382584e+03 1.404619362190797347e+03
6.709301035971948295e+02 1.407249931043652168e+03 1.406810434858488861e+03
6.711927838836460296e+02 1.396091542633808558e+03 1.409002109491205374e+03
6.714554618243834057e+02 1.406510415165118502e+03 1.411194382039200264e+03
6.717181374181420779e+02 1.427095989237733193e+03 1.413387248454170276e+03
6.719808106636578486e+02 1.425860500954873714e+03 1.415580704689274626e+03
6.722434815596664066e+02 1.408703529031702828e+03 1.417774746699162506e+03
6.725061501049033268e+02 1.421607854577900980e+03 1.419969370439974227e+03
6.727688162981040705e+02 1.430650158325501025e+03 1.422164571869382144e+03
6.730314801380047811e+02 1.439387129570418892e+03 1.424360346946577465e+03
6.732941416233409200e+02 1.425947263526916913e+03 1.426556691632322099e+03
6.735568007528486305e+02 1.418045897624234840e+03 1.428753601888938647e+03
6.738194575252633740e+02 1.433358788355491470e+03 1.430951073680335639e+03
6.740821119393212939e+02 1.420892506083348280e+03 1.433149102972041192e+03
6.743447639937585336e+02 1.438616488133493704e+03 1.435347685731197089e+03
6.746074136873104408e+02 1.419500054176900221e+03 1.437546817926584026e+03
6.748700610187136135e+02 1.434005532742431797e+03 1.439746495528650030e+03
6.751327059867037406e+02 1.447685817422471700e+03 1.441946714509509775e+03
6.753953485900171927e+02 1.430189333742350300e+03 1.444147470842975736e+03
6.756579888273896586e+02 1.434863866257569953e+03 1.446348760504566371e+03
6.759206266975578501e+02 1.432408551246915067e+03 1.448550579471532956e+03
6.761832621992573422e+02 1.463200443225887057e+03 1.450752923722860714e+03
6.764458953312250742e+02 1.460314311447894397e+03 1.452955789239308842e+03
6.767085260921968484e+02 1.458110412605419015e+03 1.455159172003403683e+03
6.769711544809089219e+02 1.453782248765574195e+03 1.457363067999465329e+03
6.772337804960977792e+02 1.466474693815414184e+03 1.459567473213638550e+03
6.774964041365000185e+02 1.480610876225067614e+03 1.461772383633880736e+03
6.777590254008520105e+02 1.452044818663302749e+03 1.463977795250004874e+03
6.780216442878898988e+02 1.471310876566620209e+03 1.466183704053673409e+03
6.782842607963503951e+02 1.471959027017134531e+03 1.468390106038443946e+03
6.785468749249700977e+02 1.479130979131113008e+03 1.470596997199757880e+03
6.788094866724854910e+02 1.475567933400277298e+03 1.472804373534964043e+03
6.790720960376330595e+02 1.466351464691041201e+03 1.475012231043349630e+03
6.793347030191499698e+02 1.455343939740216001e+03 1.477220565726139739e+03
6.795973076157724790e+02 1.475674125208113082e+03 1.479429373586519887e+03
6.798599098262374127e+02 1.473227178521344285e+03 1.481638650629649646e+03
6.801225096492815965e+02 1.484806929072059120e+03 1.483848392862688343e+03
6.803851070836418558e+02 1.487729159806328880e+03 1.486058596294799372e+03
6.806477021280549025e+02 1.495536294690358091e+03 1.488269256937173850e+03
6.809102947812579032e+02 1.477100080174638833e+03 1.490480370803041978e+03
6.811728850419873424e+02 1.491503355575251362e+03 1.492691933907687599e+03
6.814354729089807279e+02 1.487968296336046706e+03 1.494903942268478204e+03
6.816980583809747714e+02 1.503208509526949911e+03 1.497116391904861757e+03
6.819606414567066395e+02 1.500544611379002163e+03 1.499329278838393520e+03
