# Fitted Temperatures:
# Downstream (K): 1790.5	1.1
# Upstream (K): 1821.0	3.0
# 
# Datacolumns:
# wavelength(nm)	DS_data	DS_fit
6.750641183442321562e+02 2.882508755423416460e+03 2.879840795793497819e+03
6.753266857524841953e+02 2.907768319848079500e+03 2.887580367885213946e+03
6.755892514036609100e+02 2.927660626285614399e+03 2.895332460829847150e+03
6.758518152964845740e+02 2.921726364154960720e+03 2.903097074443140627e+03
6.761143774296782567e+02 2.932250290023473553e+03 2.910874208500781606e+03
6.763769378019632086e+02 2.949167185511032585e+03 2.918663862738361331e+03
6.766394964120624991e+02 2.951047428656576813e+03 2.926466036851474655e+03
6.769020532586982881e+02 2.992360920098174120e+03 2.934280730495697298e+03
6.771646083405929630e+02 2.975508227747524870e+03 2.942107943286601312e+03
6.774271616564689111e+02 2.975270013974454287e+03 2.949947674799801462e+03
6.776897132050485197e+02 2.951316597492583242e+03 2.957799924570937037e+03
6.779522629850544035e+02 2.973489775024838309e+03 2.965664692095755072e+03
6.782148109952090635e+02 2.980420004374121618e+03 2.973541976830067597e+03
6.784773572342346597e+02 3.009662731780581453e+03 2.981431778189796660e+03
6.787399017008538067e+02 2.981664988988010919e+03 2.989334095550999791e+03
6.790024443937891192e+02 3.012559106479538514e+03 2.997248928249917753e+03
6.792649853117634393e+02 3.037004784357574408e+03 3.005176275582960443e+03
6.795275244534988133e+02 3.049101803677084263e+03 3.013116136806710983e+03
6.797900618177184242e+02 3.021617779371672896e+03 3.021068511138013491e+03
6.800525974031443184e+02 3.028030462107652511e+03 3.029033397753928966e+03
6.803151312084994515e+02 3.018474833723452775e+03 3.037010795791815326e+03
6.805776632325062110e+02 3.056411960840648590e+03 3.045000704349308762e+03
6.808401934738877799e+02 3.078952618977640668e+03 3.053003122484386950e+03
6.811027219313664318e+02 3.050878471547693152e+03 3.061018049215322662e+03
6.813652486036648952e+02 3.101894406264459121e+03 3.069045483520812013e+03
6.816277734895062395e+02 3.090963207330490604e+03 3.077085424339910787e+03
6.818902965876129656e+02 3.067505009431438793e+03 3.085137870572092652e+03
6.821528178967078020e+02 3.095066736438054704e+03 3.093202821077269618e+03
6.824153374155137044e+02 3.085042743780938508e+03 3.101280274675835244e+03
6.826778551427536286e+02 3.097372310405499775e+03 3.109370230148668725e+03
6.829403710771500755e+02 3.091446302161238236e+03 3.117472686237145808e+03
