# Wavelength calibration
# Source: 20260810_135352_C001H001S0001000001.tif
# Grating center wavelength: 700.0 nm
# Polynomial (highest order first): [np.float64(-1.082415994543798e-06), np.float64(0.17719322045398636), np.float64(610.0072640802747)]
# RMS residual: 0.02939 nm
#
# pixel  wavelength_nm  species  residual_nm
  24.465    614.3063  Ne I   -0.0353
  35.536    616.3594  Ne I   +0.0567
  66.025    621.7281  Ne I   +0.0264
  94.055    626.6495  Ne I   -0.0141
 132.356    633.4428  Ne I   +0.0019
 159.964    638.2991  Ne I   -0.0251
 170.818    640.2246  Ne I   -0.0189
 229.702    650.6528  Ne I   +0.0010
 244.586    653.2882  Ne I   +0.0067
 282.187    659.8953  Ne I   -0.0273
 326.973    667.8276  Ne I   -0.0013
 348.877    671.7043  Ne I   +0.0101
 469.381    692.9467  Ne I   +0.0068
 527.793    703.2413  Ne I   +0.0142
 648.874    724.5167  Ne I   -0.0110
 759.217    743.8898  Ne I   -0.0216
 796.199    750.3869  Ar I   -0.0153
 813.803    753.5774  Ne I   +0.0866
 870.953    763.5106  Ar I   -0.0026
 921.997    772.4207  Ar I   -0.0381
#
# pixel  wavelength_nm  counts
  523   702.3832  8239.0
  524   702.5593  8948.0
  525   702.7354  10032.0
  526   702.9114  11704.0
  527   703.0875  13103.0
  528   703.2635  13402.0
  529   703.4396  12462.0
  530   703.6156  10932.0
  531   703.7917  9701.0
  532   703.9677  8892.0
  533   704.1437  8409.0
  534   704.3198  8047.0
  535   704.4958  7949.0
  536   704.6719  7773.0
  537   704.8479  7858.0
  538   705.0239  7755.0
  539   705.1999  7775.0
  540   705.3760  7763.0
  541   705.5520  7788.0
  542   705.7280  7773.0
  543   705.9040  7781.0
  544   706.0801  7729.0
  545   706.2561  7778.0
  546   706.4321  7959.0
  547   706.6081  7832.0
  548   706.7841  7730.0
  549   706.9601  7692.0
  550   707.1361  7654.0
  551   707.3121  7648.0
  552   707.4881  7628.0
  553   707.6641  7762.0
  554   707.8401  7672.0
  555   708.0161  7637.0
  556   708.1921  7741.0
  557   708.3681  7700.0
  558   708.5441  7711.0
  559   708.7200  7662.0
  560   708.8960  7600.0
  561   709.0720  7581.0
  562   709.2480  7596.0
  563   709.4240  7701.0
  564   709.5999  7752.0
  565   709.7759  7653.0
  566   709.9519  7670.0
  567   710.1278  7558.0
  568   710.3038  7604.0
  569   710.4798  7641.0
  570   710.6557  7703.0
  571   710.8317  7741.0
  572   711.0076  7609.0
  573   711.1836  7585.0
  574   711.3595  7635.0
  575   711.5355  7427.0
  576   711.7114  7640.0
  577   711.8874  7700.0
  578   712.0633  7834.0
  579   712.2393  7709.0
  580   712.4152  7462.0
