# Wavelength calibration
# Source: 20260810_135352_C001H001S0001000001.tif
# Grating center wavelength: 700.0 nm
# Polynomial (highest order first): [np.float64(-6.295521306749217e-09), np.float64(7.656898793276602e-06), np.float64(-0.16204872591505995), np.float64(815.8693669957287)]
# RMS residual: 0.25717 nm
#
# pixel  wavelength_nm  species  residual_nm
  24.683    811.5311  Ar I   -0.3429
  35.623    810.3693  Ar I   +0.2632
  94.046    800.6157  Ar I   -0.0761
 132.655    794.8176  Ar I   +0.3248
 269.064    772.3761  Ar I   -0.3235
 326.972    763.5106  Ar I   +0.0281
 404.755    751.4652  Ar I   +0.3488
 410.779    750.3869  Ar I   +0.2282
 482.755    738.3980  Ar I   -0.3177
 492.195    737.2118  Ar I   -0.0023
 546.100    728.1349  He I   -0.4978
 595.905    720.6980  Ar I   +0.0075
 634.908    714.7042  Ar I   +0.2456
 684.214    706.5188  He I   -0.0425
 748.070    696.5431  Ar I   +0.2481
 922.784    667.8151  He I   -0.0915
#
# pixel  wavelength_nm  counts
  431   746.9447  8403.0
  432   746.7857  8301.0
  433   746.6268  8181.0
  434   746.4678  8218.0
  435   746.3088  8270.0
  436   746.1499  8404.0
  437   745.9909  8368.0
  438   745.8320  8168.0
  439   745.6730  8156.0
  440   745.5140  8254.0
  441   745.3551  8201.0
  442   745.1961  8327.0
  443   745.0371  8371.0
  444   744.8781  8225.0
  445   744.7192  8137.0
  446   744.5602  8180.0
  447   744.4012  8255.0
  448   744.2422  8125.0
  449   744.0833  8174.0
  450   743.9243  8378.0
  451   743.7653  8464.0
  452   743.6063  8123.0
  453   743.4473  8153.0
  454   743.2883  8096.0
  455   743.1294  8154.0
  456   742.9704  8013.0
  457   742.8114  8034.0
  458   742.6524  8179.0
  459   742.4934  8196.0
  460   742.3344  8298.0
  461   742.1754  8068.0
  462   742.0164  8223.0
  463   741.8574  8248.0
  464   741.6984  8159.0
  465   741.5393  8300.0
  466   741.3803  8510.0
  467   741.2213  9175.0
  468   741.0623  9894.0
  469   740.9033  10199.0
  470   740.7443  10123.0
  471   740.5852  9608.0
  472   740.4262  9069.0
  473   740.2672  8683.0
  474   740.1081  8530.0
  475   739.9491  8330.0
  476   739.7901  8104.0
  477   739.6310  8145.0
